time;x;y;fx;fy
63;120;-120;0;87
126;120;-120;0;87
189;120;-120;0;87
252;120;-120;0;87
315;120;-120;0;85
378;120;-120;0;85
441;120;-120;0;85
504;120;-120;0;85
567;120;-120;0;85
630;120;-120;0;85
693;120;-120;0;85
756;120;-120;0;85
819;120;-120;0;85
882;120;-120;0;85
945;120;-118;0;172
1008;120;-116;0;172
1071;120;-111;0;172
1134;120;-108;0;172
1197;120;-106;0;172
1260;120;-103;0;217
1323;120;-97;0;217
1386;120;-93;0;217
1449;120;-90;0;217
1512;120;-87;0;217
1575;120;-80;0;216
1638;120;-77;0;216
1701;120;-74;0;216
1764;120;-70;0;216
1827;120;-64;0;216
1890;120;-61;0;216
1953;120;-57;0;216
2016;120;-54;0;216
2079;120;-47;0;216
2142;120;-44;0;216
2205;120;-41;0;216
2268;120;-38;0;196
2331;120;-31;0;196
2394;120;-28;0;196
2457;120;-25;0;196
2520;120;-21;0;196
2583;120;-16;0;186
2646;120;-14;0;186
2709;120;-11;0;186
2772;120;-8;0;186
2835;120;-4;0;154
2898;120;-2;0;154
2961;120;0;0;154
3024;120;4;-32;154
3087;120;6;-32;154
3150;120;9;-32;250
3213;120;14;-32;250
3276;120;19;-32;250
3339;120;28;-32;250
3402;120;33;-32;250
3465;120;37;-32;203
3528;120;41;-32;203
3591;120;47;-32;203
3654;120;50;-31;203
3717;120;53;-31;203
3780;120;56;-31;118
3843;120;59;-31;118
3906;120;61;-31;118
3969;120;62;-32;118
4032;120;64;-32;118
4095;120;67;-32;131
4158;120;69;-32;131
4221;120;70;-32;131
4284;120;72;-30;131
4347;120;75;-30;131
4410;120;77;-30;117
4473;120;78;-30;117
4536;120;80;-30;117
4599;120;83;-31;117
4662;120;84;-31;117
4725;120;85;-31;107
4788;120;85;-31;107
4851;120;85;-31;107
4914;120;85;-29;107
4977;120;85;-29;107
5040;120;86;-29;175
5103;120;91;-29;175
5166;120;93;-29;175
5229;120;96;-29;175
5292;120;98;-29;175
5355;120;104;-29;172
5418;120;106;-29;172
5481;120;108;-29;172
5544;120;111;0;172
